Search Term,Total Unique Searches,% Search Exits,Avg. Search Depth
anand,351,9.40%,2.74
school,350,13.71%,3.49
corona,349,10.60%,3.78
raincoat,347,48.13%,1.67
tine and the faraway mountain,346,24.57%,1.86
English level 1,344,18.31%,3.67
Sringeri,343,16.91%,3.36
too much noise,343,16.03%,2.34
The girl who could not stop laughing,342,22.22%,2.3
space,338,16.57%,3.34
vietnamese,337,48.37%,3.09
busy ants,333,14.41%,2.16
hindi story,333,17.42%,2.71
✓,332,46.99%,2.05
English stories,330,13.94%,4.41
telugu,329,27.66%,3.01
Diwali,324,31.48%,3.73
friends,321,20.25%,3.15
Family,315,26.35%,3.54
Too many bananas,314,14.97%,3.05
Funny,313,12.78%,4.03
Rain,312,18.27%,3.84
the girl who could not stop laughing,303,12.21%,2.46
math,302,21.19%,3.26
Marathi story,301,37.21%,3.98
Shapes,301,20.27%,3.43
plants,299,18.73%,3.16
the case of the missing water,299,53.85%,1.88
italian,298,46.31%,2.49
home,296,13.51%,3.01
Sringeri srinivas,295,13.56%,3.43
story,295,19.66%,3.11
the scavenger hunt,292,62.67%,1.96
my family,289,15.22%,2.78
harry potter,283,29.33%,2.05
searching for spirit of spring,282,75.53%,1.44
parag,280,80.71%,0.85
when i grow up,277,9.39%,2.3
birds,276,14.49%,3.18
funny,276,19.20%,2.91
my home,275,8.00%,2.53
Food,272,15.44%,3.78
arabic,270,48.52%,1.72
dinosaur,268,12.31%,3.51
Lost and found,268,15.67%,2.7
my best friend,265,12.45%,2.9
Sringeri Srinivas,264,16.29%,3.68
the will,263,64.26%,2.03
My best friend,262,22.14%,3.64
When I grow up,262,10.31%,2.79
Annual haircut day,261,13.41%,2.89
Dinosaur,261,13.41%,3.83
tamil stories,261,13.79%,3.8
elephant,260,17.69%,2.37
i want that one,259,15.44%,2.51
malayalam,256,17.58%,4.03
rainbow,256,12.89%,2.94
Grandma's glasses,253,13.83%,3.17
dog,250,13.60%,3.06
feelings,250,17.20%,3.5
Gujarati,250,39.20%,2.97
Space,247,19.43%,3.23
Water,247,19.84%,3.43
my body,245,11.02%,3.22
ghost,244,12.30%,3.03
butterfly,243,13.17%,2.64
gappu,243,9.47%,3.03
Moral stories,242,15.70%,3.92
singing in the rain,242,18.18%,2.36
hindi level 1,240,14.58%,3.02
My family,240,16.25%,3.94
the new girl,238,15.55%,2.13
english book for class 1,237,54.43%,2.63
hide and seek,232,11.64%,2.41
Stories,232,13.36%,4.99
fat king thin dog,231,7.79%,3.26
Arabic,230,48.26%,2.27
seasons,230,17.39%,2.68
cat,227,9.69%,2.78
Rainbow,227,17.62%,2.73
Elephant,225,17.78%,2.57
brushing is no fun,223,16.14%,2.12
Fat king thin dog,222,14.86%,4.05
Hide and seek,222,15.32%,3.69
Busy ants,221,12.67%,3.42
English story,221,16.74%,3.86
Maths,221,29.41%,2.99
My home,221,17.65%,2.69
Colours,218,13.76%,4.21
gappu cant dance,218,12.39%,2.56
moral stories,216,16.67%,3.21
my friends,216,10.19%,2.5
no smiles today,216,17.13%,2.01
ting tong,216,7.87%,3.05
I can make things,215,17.21%,2.2
the race,215,6.51%,3.27
a book for puchku,214,10.28%,2.17
how far is far,214,71.50%,0.91
fish,213,14.08%,6.52
numbers,213,13.62%,2.85
Science,213,19.25%,3.21
Birds,212,20.28%,3.21
friendship,212,18.87%,3.08
Friends,209,21.05%,3.17
fruits,209,14.83%,3.77
The new girl,207,13.53%,2.11
tree,207,18.84%,2.77
funny stories,205,10.73%,2.84
Hindi Stories,205,29.27%,3.11
under my bed,205,13.17%,2.52
colours on the street,204,12.75%,1.67
world vision,204,89.22%,1.75
Fish,203,16.75%,2.95
Gappu,203,7.88%,3.01
The race,202,12.38%,3.86
Ting tong,201,20.90%,2.97
Angry Akku,200,14.00%,2.23
korean,200,41.00%,1.91
School,200,15.50%,3.42
The boy and the drum,200,21.00%,2.82
the mango tree,200,7.50%,2.52
Dog,198,13.64%,3.19
Japanese,198,38.38%,3.11
rainbow girls,198,9.60%,2.26
Too much noise,198,16.67%,3.01
dive,197,10.15%,2.47
Brushing is no fun,194,11.34%,2.69
Cat,194,16.49%,2.81
A book for puchku,193,15.54%,2.86
Ghost,193,18.65%,2.83
maths,192,16.15%,3.59
Level1,191,15.71%,4.05
train,191,11.52%,3.59
Bunty and bubbly,190,20.00%,2.38
lets draw something,190,27.89%,1.34
welcome to the forest,190,12.63%,2.09
animal homes,189,8.99%,2.07
Neema,189,17.46%,2.68
lion,188,10.11%,2.55
i can climb,187,10.16%,2.26
Level 5,187,16.04%,3.95
festivals,186,14.52%,3.02
the boy and the drum,186,17.74%,2.4
Corona,185,17.84%,3.81
Math,185,20.00%,4.42
trees,185,20.54%,2.77
Animal,184,14.13%,3.37
My friends,184,13.04%,2.67
Singing in the rain,184,25.00%,2.64
The mango tree,184,14.13%,3.14
snip,183,7.65%,2.46
horror,182,20.88%,3.66
Plants,182,21.98%,2.96
Animal homes,179,16.76%,2.69
house,179,13.41%,2.36
nature,179,16.20%,3.41
moon,177,12.43%,2.51
sailing ships andsinkingboat,176,76.70%,1.77
fat king,174,9.20%,3.22
Harry potter,174,29.89%,2.26
I can climb,174,12.07%,2.4
neema,174,12.07%,2.14
princess,174,12.64%,3.24
science,174,18.97%,3.11
bheema,173,12.14%,2.86
environment,173,17.34%,2.94
tiger,173,16.18%,2.71
Harry Potter,172,21.51%,2.85
vayu the wind,172,54.65%,1.13
Funny stories,171,14.62%,4.83
tamil story,171,22.22%,2.94
Gappu can't dance,170,6.47%,3.66
Hindi level 2,170,16.47%,2.81
Bheema,169,10.06%,3.57
Bunty,168,17.26%,2.71
français,168,35.12%,3.66
Greedy mouse,167,10.78%,2.51
Hindi books,167,20.36%,3.89
body,166,14.46%,3.55
dogs,166,30.12%,1.93
Level 1 stories,166,12.05%,4.34
Lion,166,12.65%,3.05
Bengali,165,55.76%,2.21
birthday,165,14.55%,3.51
Same same or different,165,37.58%,1.74
Welcome to the forest,165,13.33%,2.9
what if,164,12.80%,3.36
health,163,11.04%,3.48
i can help,163,7.98%,3.03
Konkani,162,56.79%,3.88
Telugu stories,162,19.75%,3.37
animal,161,11.80%,2.97
The elephant bird,161,16.15%,2.61
Butterfly,160,15.62%,3.79
annual haircut,159,6.92%,3.03
Home,159,14.47%,3.7
counting,158,16.46%,3.2
earth,158,17.09%,2.72
Fat king,158,10.76%,3.85
jadav and the tree place,158,32.91%,1.85
little painters,158,15.19%,1.85
halloween,156,15.38%,2.8
coronavirus,155,10.97%,3.21
gandhi,155,15.48%,2.17
english stories,154,11.69%,3.01
food monster,154,9.09%,2.4
magic,154,13.64%,3.52
A butterfly smile,153,13.73%,2.59
amachi,153,13.07%,3.5
Caterpillar,153,16.99%,2.46
rani,153,9.15%,2.64
Snip,153,11.76%,3.14
unicorn,153,43.79%,2.58
dipa,152,54.61%,2.39
gappu can't dance,152,11.18%,2.01
rabbit,152,15.13%,3.16
मराठी,152,16.45%,6.88
achoo,151,6.62%,2.75
I can help,151,11.92%,3.71
No smiles today,151,21.85%,2.97
transport,151,15.89%,3.56
vegetables,151,13.91%,3.25
dance,150,18.00%,2.66
German,150,44.00%,3.15
india,150,16.00%,2.78
english level 1,149,14.77%,3.56
smiti,149,1.34%,2.96
Krishna,148,27.70%,2.39
Raincoat,148,12.84%,2.87
mother,147,14.97%,2.69
Trees,147,25.17%,3.37
Achoo,146,15.07%,2.47
stage fright,146,11.64%,2.53
weather,146,14.38%,3.01
krishna,145,19.31%,2.85
rabbit becomes a chef,145,24.14%,2.41
when will amma be back,145,10.34%,2.26
bunty,144,13.19%,1.45
insects,144,12.50%,2.78
my brother and me,144,13.19%,2.78
Amharic,143,60.14%,2.99
hindi books,143,13.29%,3.15
Tiger,143,16.08%,2.92
Dive,142,16.90%,2.99
Horror,142,14.79%,2.54
the drawing game,142,7.75%,1.89
geronimo stilton,141,19.15%,2.4
japanese,141,29.79%,3.04
rainbow boys,141,6.38%,2.23
goodnight tinku,140,20.71%,2.1
i can make things,140,8.57%,2.09
Read along,140,11.43%,5.12
Readalong,140,15.71%,6.64
the magic block,140,17.86%,2.04
Tree,140,9.29%,3.44
children,139,33.81%,3.27
mission cycle,139,16.55%,1.93
animal stories,138,13.77%,2.98
English level 4,138,19.57%,3.29
level 5,138,13.04%,4.07
mango tree,137,10.95%,2.47
akku,136,19.12%,2.51
the bee and the elephant,136,7.35%,1.8
car,135,13.33%,2.67
cloud of trash,135,17.04%,2.48
I like to read,135,22.22%,2.63
The greedy mouse,135,10.37%,3.57
a cloud of trash,134,5.97%,1.7
teacher,134,10.45%,3.17
get down rocky,133,10.53%,2.17
Grandma glasses,133,12.03%,4.49
tall and short,133,9.77%,3.23
adventure,132,11.36%,3.03
Christmas,132,22.73%,3.76
clean cat,132,9.85%,2.8
market,132,15.15%,3.53
Mission cycle,132,15.91%,3.05
Princess,132,12.12%,2.86
stories,132,14.39%,2.73
the night the moon went missing,132,9.09%,2.18
Amachi,131,16.03%,3.12
childhelpfoundation,131,20.61%,5.31
Colours on the street,131,12.98%,2.18
Geronimo Stilton,131,16.79%,2.43
hindi level 2,131,10.69%,2.44
lost in the internet,131,10.69%,2.6
The magic block,131,15.27%,2.76
the moon and the cap,131,10.69%,1.76
Food monster,130,13.85%,2.29
look at me,130,11.54%,1.96
look up,130,3.85%,3.14
frog,129,20.16%,2.57
money,129,17.83%,2.92
a butterfly smile,128,6.25%,3.23
A cloud of trash,128,15.62%,2.52
Annual haircut,128,3.91%,3.49
Good night tinku,128,19.53%,2.23
Lost in the internet,128,13.28%,2.75
Mango tree,127,14.17%,2.75
Rashmi Gopal,127,9.45%,4.67
Tamil books,127,25.98%,2.83
all aboard,126,13.49%,2.71
time,126,15.87%,2.07
What if,126,15.87%,3.25
doctor,125,11.20%,2.45
English level 2,125,18.40%,3.46
gul in space,125,16.00%,1.98
monkey,124,16.13%,3.38
Under my bed,124,11.29%,3.65
corona virus,123,12.20%,3.84
Marathi stories,123,15.45%,4.44
Mouse,123,5.69%,3.01
colors,122,8.20%,3.36
german,122,31.97%,2.79
mera ghar,122,14.75%,2.88
winter,122,20.49%,3.02
kannada stories,121,15.70%,4.17
Rabbit,121,9.09%,3.01
satya watch out,121,11.57%,1.89
spider,121,12.40%,2.05
community helpers,120,11.67%,2.25
covid,120,11.67%,3.72
Nature,120,19.17%,2.82
behind the lie,119,21.01%,1.92
caterpillar,119,11.76%,3.68
cricket,119,19.33%,3.01
folktales,119,28.57%,3.39
kindness,119,11.76%,3.1
meera and ameera,119,14.29%,1.8
Tamil level 1,119,13.45%,2.72
Cloud of trash,118,13.56%,3.09
My brother and me,118,20.34%,2.36
Ammachi's Amazing Machines,117,8.55%,5.2
Fruits,117,17.95%,3.79
Rabbit becomes a chef,117,17.09%,3.81
Rachna,117,56.41%,1.93
rainbow sambar,117,12.82%,2.61
Rani's first day at school,117,18.80%,2.98
Animal stories,116,12.93%,4.03
city of stories,116,14.66%,2.48
english story,116,12.07%,2.16
India,116,27.59%,1.98
Level 1 english,115,19.13%,2.3
Punjabi,115,37.39%,2.8
History,114,30.70%,2.82
snake,114,11.40%,2.75
tamil level 1,114,10.53%,3.82
Cinderella,113,16.81%,3.06
jadav,113,6.19%,2.36
Numbers,113,15.93%,3.24
poems,113,18.58%,3.38
summer,113,19.47%,2.54
Car,112,11.61%,3.23
Korean,112,36.61%,2.67
Monkey,112,13.39%,3.21
naughty dog,112,11.61%,2.59
poem,112,15.18%,4.65
wordless,112,22.32%,3.99
Jadav,111,27.93%,1.58
patterns,111,12.61%,2.32
rani's first day at school,111,6.31%,3.86
Srinivas,111,8.11%,3.86
butterfly smile,110,5.45%,3.33
Did you hear,110,10.00%,2.17
mouse,110,12.73%,2.94
The night the moon went missing,110,14.55%,2.09
a helping hand,109,14.68%,2.4
air,109,10.09%,2.69
Coronavirus,109,20.18%,3.58
did you hear,109,7.34%,2.33
Friendship,109,20.18%,3.66
ghum ghum,109,11.01%,2.83
sharing,109,17.43%,2.89
Urdu,109,23.85%,5.43
Afrikaans,108,37.96%,2.74
bird,108,20.37%,2.58
Body parts,108,20.37%,3.29
Kannada stories,108,25.00%,5.08
Rani,108,11.11%,3.11
books,107,13.08%,2.83
Magic,107,23.36%,2.52
Rainbow girls,107,9.35%,2.44
the greedy mouse,107,17.76%,1.77
addition,106,25.47%,1.95
angry,106,21.70%,2.73
Ant,106,13.21%,2.09
arya in the cockpit,106,11.32%,1.99
garden,106,12.26%,3.06
Grandma,106,10.38%,2.93
my fish no my fish,106,7.55%,2.16
my house,106,9.43%,2.88
senses,106,18.87%,2.4
sun,106,11.32%,2.22
travel,106,21.70%,2.51
Annual hair cut day,105,24.76%,2.9
level 1 english,105,13.33%,3.4
My sister and me,105,17.14%,3.69
The moon and the cap,105,17.14%,2.58
Train,105,18.10%,2.7
a special nest,104,13.46%,1.99
Adventure,104,20.19%,3.38
afrikaans,104,27.88%,2.67
art is everywhere,104,10.58%,2.34
forest,104,13.46%,2.68
independence day,104,25.96%,2
Summer,104,36.54%,3.25
clothes,103,32.04%,2.15
Counting,103,13.59%,3.37
Emotions,103,41.75%,2.45
mango,103,18.45%,2.64
pratham books,103,18.45%,2.62
rains,103,75.73%,2.08
Satya watch out,103,19.42%,2.9
Spider,103,26.21%,2.25
The drawing game,103,18.45%,2.18
A helping hand,102,20.59%,2.39
dinosaurs,102,16.67%,3.64
Arya in the cockpit,101,17.82%,2.29
Moon,101,18.81%,2.5
not now not now,101,22.77%,1.86
Not now not now,101,22.77%,2.09
scary,101,17.82%,3.34
sports,101,13.86%,3.18
two mice,101,13.86%,2.17
english level 2,100,16.00%,4.62
Geronimo stilton,100,19.00%,2.85
music,100,9.00%,4.44
What's neema eating today,100,31.00%,3.25
Earth,99,20.20%,3.35
hygiene,99,11.11%,3.79
Kali wants to dance,99,17.17%,2.73
level 1 stories,99,12.12%,3.51
listen to my body,99,10.10%,2.73
Look at me,99,12.12%,2.14
race,99,10.10%,2.44
Rocky,99,8.08%,2.38
the magic mirror,99,9.09%,2.78
flowers,98,12.24%,3.02
Rainbow sambar,98,12.24%,3.94
test,98,23.47%,15.78
the elephant bird,98,14.29%,2.26
urdu(,98,79.59%,1
Akku,97,7.22%,3.15
satya,97,15.46%,2.21
Satya,97,18.56%,2.1
vehicles,97,23.71%,2.57
ammachi's amazing machines,96,8.33%,2.3
annual hair cut day,96,7.29%,2.59
Chunu,96,12.50%,2.07
Create,96,17.71%,3.76
my fish,96,13.54%,2.88
not now,96,12.50%,2.05
pattern,96,21.88%,2.43
Surjapuri,96,61.46%,2.65
boochandi,95,8.42%,3.64
culture,95,17.89%,3.07
festival,95,22.11%,2.43
haircut,95,9.47%,3.01
how old is muttaji,95,9.47%,1.98
king,95,20.00%,3.96
Money,95,30.53%,2.19
the tree,95,4.21%,2.14
Banana,94,6.38%,2.33
Bird,94,14.89%,3.24
book of bhoots,94,7.45%,3.26
colour,94,10.64%,3.35
fairy,94,8.51%,3.29
Fairy,94,29.79%,2.48
grandma's glasses,94,12.77%,2.06
have you seen sundari,94,5.32%,2.27
I spy,94,10.64%,2.51
nani,94,12.77%,1.99
Not now,94,8.51%,4.05
park,94,11.70%,2.48
solar system,94,22.34%,2.93
three wailers.,94,4.26%,1.3
zoo,94,13.83%,3.02
Birthday,93,17.20%,3.17
Francais,93,23.66%,3.54
Get down rocky,93,21.51%,2.12
i love me,93,6.45%,1.48
i spy,93,7.53%,1.84
I spy a lake,93,19.35%,2.19
Little painters,93,10.75%,3.33
My house,93,15.05%,2.29
No,93,8.60%,3.46
password please,93,9.68%,2.12
rain rain,93,10.75%,2.58
rajiv eipe,93,16.13%,3.72
telugu stories,93,11.83%,3.95
banana,92,13.04%,2.61
Body,92,16.30%,3.84
English level 3,92,16.30%,3.26
Funny story,92,23.91%,3.29
history,92,9.78%,4.73
Italiano,92,44.57%,2.42
ocean,92,18.48%,2.63
tamil books,92,21.74%,3.38
wet or dry,92,5.43%,2.18
amma,91,7.69%,2.96
I want to,91,17.58%,3.45
Italian,91,28.57%,3.12
Look up,91,21.98%,2.57
Mera ghar,91,20.88%,2.88
My fish,91,14.29%,3.86
Nani,91,16.48%,2.93
nepali,91,36.26%,4.49
pishi and me,91,18.68%,1.62
plant,91,20.88%,2.7
The case of missing water,91,16.48%,2.29
The power of one,91,10.99%,2.93
Clean cat,90,12.22%,3.38
kottavi raja,90,6.67%,2.12
laundry day,90,11.11%,2.34
Mango,90,24.44%,3.37
play,90,7.78%,2.84
Poem,90,25.56%,4.28
rang,90,14.44%,2.63
srinivas,90,10.00%,3.67
Such a sweet smell,90,23.33%,1.86
The bee and the elephant,90,15.56%,2.57
three for free,90,22.22%,2.17
ice cream,89,11.24%,2.28
Independence day,89,33.71%,1.33
Pratham books,89,7.87%,3.48
Rainbow boys,89,17.98%,2.9
Scratch,89,5.62%,3.34
sniffles,89,7.87%,2.44
Baby,88,19.32%,3.92
happy,88,18.18%,3.85
healthy food,88,15.91%,3.86
love,88,14.77%,2.43
timmy and pepe,88,7.95%,3.34
turtle,88,13.64%,2.65
Water dance,88,29.55%,2.88
when I grow up,88,7.95%,2.05
wild cat,88,6.82%,2.77
animal story,87,17.24%,3.66
Community helpers,87,21.84%,2.94
Love,87,20.69%,4.06
Naughty dog,87,13.79%,2.67
Patterns,87,27.59%,2.21
plek plok,87,13.79%,2.21
Stage fright,87,12.64%,2.09
Bhoot,86,22.09%,3.1
folk tales,86,45.35%,2.21
good habits,86,19.77%,2.42
Gul in space,86,13.95%,2.41
TAMIL,86,26.74%,6.58
The red rain coat,86,17.44%,2.94
Today I am,86,15.12%,2.88
A,85,11.76%,1.49
aloo maloo kaloo,85,16.47%,2.41
everyone eats,85,9.41%,1.86
Français,85,25.88%,3.59
Grandmas glasses,85,17.65%,2.6
My garden,85,16.47%,3.01
no,85,7.06%,2.62
tok tok,85,11.76%,3.08
Ammachi's amazing machines,84,13.10%,3.37
Colour,84,11.90%,2.57
community,84,26.19%,1.64
Dogs,84,13.10%,2.8
dragon,84,14.29%,2.61
football,84,9.52%,2.68
games,84,10.71%,3
Ghost stories,84,21.43%,2.69
House,84,11.90%,4.14
Ice cream,84,15.48%,2.06
lazy mama,84,3.57%,2.25
My fish no my fish,84,13.10%,2.92
opposites,84,25.00%,2.43
same same or different,84,10.71%,2.37
whats neema eating today,84,10.71%,2.02
filipino,83,33.73%,4.27
Goodnight tinku,83,14.46%,3.37
greedy mouse,83,13.25%,1.88
HINDI,83,13.25%,3.8
Moral story,83,15.66%,2.82
my drafts,83,7.23%,10.17
Pratham,83,20.48%,4.86
smell,83,14.46%,2.55
The Red Raincoat,83,6.02%,18.98
Time,83,22.89%,3.47
today i am,83,12.05%,2.23
Dinosaurs,82,14.63%,3.88
Jadav and the tree place,82,6.10%,2.48
kali wants to dance,82,6.10%,2.27
Pattern,82,19.51%,2.89
readalong,82,8.54%,4.98
Vegetables,82,12.20%,4.46
cars,81,8.64%,2.79
crocodile,81,16.05%,2.2
Festivals,81,20.99%,2.01
Filipino,81,39.51%,4.84
Level2,81,16.05%,4.64
हिन्दी story,81,83.95%,0.86
baby,80,10.00%,2.79
cindrella,80,13.75%,1.72
I love me,80,5.00%,2.14
Incredible insects,80,5.00%,2.19
my sister and me,80,10.00%,3.01
Preschool,80,23.75%,4.28
Read aloud,80,12.50%,5.74
Seasons,80,21.25%,3.61
Snake,80,8.75%,2.99
the power of one,80,8.75%,2.18
whale in the sky,80,11.25%,1.88
whats that smell,80,10.00%,1.95
Amma,79,12.66%,1.73
book,79,18.99%,4.73
farida,79,13.92%,1.29
Frog,79,16.46%,3.13
peacock,79,5.06%,3.14
planets,79,15.19%,3.54
robot,79,24.05%,2.51
such a sweet smell,79,20.25%,1.96
Travel,79,20.25%,3.67
aam ka ped,78,3.85%,2.32
art,78,16.67%,3.04
Bheema the sleepyhead,78,35.90%,2.24
brave rima,78,15.38%,1.79
Feelings,78,26.92%,3.13
foxy joxy,78,14.10%,1.6
Gandhi,78,26.92%,1.68
grandma,78,8.97%,3.32
i like to read,78,6.41%,2.19
only fools go to school,78,5.13%,1.86
Race,78,17.95%,2.79
read along,78,6.41%,4.36
scratch,78,6.41%,2.71
The magic mirror,78,12.82%,3.09
Tibetan,78,24.36%,4.58
What is it,78,15.38%,2.77
Where is my mother,78,16.67%,3.09
You can't find me,78,15.38%,3.74
मराठी गोष्टी,78,32.05%,3.77
Boochandi,77,6.49%,3.39
bounce,77,12.99%,3.01
Cake,77,14.29%,2.97
Colors,77,29.87%,2.26
Cricket,77,22.08%,2.73
diary of a wimpy kid,77,25.97%,1.31
girl,77,12.99%,2.83
Halloween,77,14.29%,3.48
Health,77,40.26%,2.53
Level 1 English,77,9.09%,3.6
Mahatma Gandhi,77,27.27%,3.4
piggy wants to fly,77,11.69%,2.16
Sharing,77,19.48%,3.25
The,77,6.49%,2.64
the laddoo code,77,10.39%,1.86
the magic letter,77,10.39%,2.49
three little kittens,77,12.99%,2
where is my mother,77,12.99%,2.27
all jumbled up,76,6.58%,2.17
Annual Haircut Day,76,7.89%,2.89
bear,76,19.74%,2.29
Bheema the sleepy head,76,25.00%,1.87
cooking,76,9.21%,2.83
francais,76,15.79%,4.62
gulli,76,9.21%,2.53
Gulli,76,13.16%,2.36
Level 6,76,30.26%,3.66
mystery,76,19.74%,2.64
smile,76,17.11%,2.05
taste,76,15.79%,2.8
the very wiggly tooth,76,11.84%,1.63
unni's wish,76,17.11%,3.92
wild cat wild cat,76,18.42%,2.18
wimpy kid,76,25.00%,1.75
ant,75,13.33%,1.85
circle,75,18.67%,1.92
compassion,75,34.67%,3.65
crow,75,16.00%,2.59
cycle,75,14.67%,2.63
farm animals,75,17.33%,4.53
Festival,75,22.67%,2.84
Hygiene,75,17.33%,5.39
incredible insects,75,6.67%,1.96
new arrivals,75,12.00%,4.08
pig,75,8.00%,2.35
The girl who couldn't stop laughing,75,13.33%,2.71
too big,75,17.33%,2.55
water dance,75,14.67%,1.79
ants,74,12.16%,3.07
biography,74,14.86%,2.99
Chunnu,74,8.11%,2.3
Fox,74,20.27%,2.69
funny story,74,10.81%,1.89
Games,74,22.97%,4.34
gujarati,74,21.62%,3.68
Haircut,74,10.81%,3.04
how many,74,9.46%,2.11
internet,74,21.62%,1.89
migration,74,32.43%,1.69
Pishi and me,74,24.32%,2.19
Senses,74,14.86%,2.66
Stem,74,29.73%,3.55
Tall and short,74,12.16%,3.22
Three little kittens,74,29.73%,2.58
tiffin gang,74,39.19%,1.27
what does anu see,74,8.11%,2.59
All aboard,73,19.18%,2
cake,73,10.96%,2.99
chinese,73,19.18%,2.7
community helper,73,16.44%,2.18
Environment,73,23.29%,5.22
gender,73,19.18%,3.88
good night tinku,73,6.85%,2.75
jungle,73,16.44%,2.37
peppa pig,73,20.55%,1.89
permila,73,1.37%,1.93
See you tomorrow,73,36.99%,2.1
serpy the snake,73,10.96%,2.62
the case of missing water,73,6.85%,2.08
who is faster,73,12.33%,3.48
A special nest,72,22.22%,3.1
adjectives,72,13.89%,2.86
aeroplane,72,6.94%,2.29
bheema gadha,72,12.50%,2.18
bookshelf,72,4.17%,8.11
detective,72,15.28%,2.64
draft,72,6.94%,11.57
English books,72,9.72%,2.49
Insects,72,22.22%,2.81
mangalyaan,72,6.94%,2.32
Monster,72,5.56%,3.46
Short stories,72,19.44%,4.29
The case of the missing water,72,11.11%,2.49
bheema the sleepy head,71,21.13%,1.73
camel,71,9.86%,2.9
chunnu munnu,71,4.23%,3.23
dino,71,7.04%,2.23
farm,71,12.68%,2.73
Hashim saves the mangoes,71,11.27%,3.18
helping hand,71,11.27%,2.52
Let's go,71,38.03%,1.8
Level 1 story,71,19.72%,4.39
level1,71,11.27%,3.92
magic block,71,15.49%,2.65
Meera and ameera,71,16.90%,2.61
My car,71,18.31%,3.01
poop,71,11.27%,3.28
Red rain coat,71,16.90%,3.55
whale,71,2.82%,2.61
who is our friend,71,22.54%,2.97
5 senses,70,30.00%,2.21
Addition,70,22.86%,4.13
Bounce,70,15.71%,2.41
chunu and munu,70,14.29%,2.56
cube cat cone cat,70,12.86%,1.24
friend,70,14.29%,3.24
Ghum ghum,70,12.86%,2.19
Hindi level 3,70,10.00%,3.89
i love my mom,70,5.71%,3.31
Mother,70,12.86%,3.7
Poems,70,21.43%,2.91
red rain coat,70,5.71%,2.03
same same,70,2.86%,1.56
The magic letter,70,10.00%,3.69
Too big,70,10.00%,2.93
Transport,70,22.86%,2.53
Two mice,70,11.43%,2.83
Bear,69,15.94%,2.19
Chipko takes root,69,11.59%,3.74
computer,69,14.49%,2.74
Forest,69,15.94%,3.39
new girl,69,13.04%,1.83
Piggy wants to fly,69,11.59%,2.75
The Race,69,14.49%,2.62
Tinku,69,21.74%,2.28
topsy turvy,69,10.14%,1.71
Unicorn,69,11.59%,3.9
Why do bees buzz,69,23.19%,3.03
Wild cat,69,7.25%,3.1
all about me,68,14.71%,2.18
big and small,68,13.24%,1.81
bubbles,68,14.71%,2.03
bus,68,10.29%,2.5
cocinelle,68,58.82%,1.12
english level 4,68,4.41%,3.46
King,68,19.12%,3.32
Only fools go to school,68,19.12%,2.29
pratham,68,16.18%,8
Rain rain,68,25.00%,2.66
reading,68,16.18%,3.38
